Customer_ID,Age,Gender,Occupation,Income_Bracket,Family_Size,Marital_Status,Education_Level,Region,Monthly_Revenue,CLTV,Avg_Monthly_Data_Usage_GB,Avg_Call_Duration_Minutes,Monthly_Transactions,Churn_Status,Subscription_Type,Retention_Offers_Availed,Feedback_Score,Preferred_Product_Type,Peak_Usage_Time,Last_Interaction_Days,Number_of_Complaints,Payment_Method,Bill_Payment_Timeliness,Outstanding_Balance,Loyalty_Points,Campaign_Responses,Social_Media_Activity,Network_Complaints,Service_Downtime_Impact
CUST_00001,57,Male,Unemployed,$50K–$100K,5,Single,Master’s,East,859.6475849190841,15149.298041430093,198.4740726864621,25.842758132054357,48,No,Family Plan,1,1,Data-Only Plan,Evening,256,7,Debit Card,Late by >5 Days,298.6827904607792,235,6,Low,1,High
CUST_00002,28,Male,Unemployed,>$100K,2,Married,Master’s,East,809.1231866126859,18789.419862225524,26.002007769328042,23.519100371745857,12,No,Prepaid,1,9,Voice-Data Plan,Morning,200,4,Net Banking,On Time,472.93470610288097,949,5,High,1,High
CUST_00003,18,Male,Professional,>$100K,4,Divorced,Bachelor’s,South,396.29028082157834,5025.969576341055,70.27820289724502,14.214466873026968,32,No,Postpaid,3,5,Voice-Data Plan,Evening,324,6,UPI,Late by >5 Days,184.21451001034274,296,2,High,8,High
CUST_00004,60,Male,Unemployed,<$50K,1,Divorced,High School,East,228.1225476110643,10921.510114028335,58.657036446322245,18.45585082428356,2,No,Family Plan,0,1,Voice Plan,Night,216,6,Credit Card,On Time,393.59254468166876,15,2,High,7,Medium
CUST_00005,25,Male,Student,<$50K,2,Divorced,Master’s,North,904.1459764653302,14652.958624511599,69.17889581586732,58.83256188648537,40,No,Prepaid,1,4,Voice Plan,Night,115,9,Debit Card,Late by >5 Days,45.48924551058886,513,9,High,4,High
CUST_00006,41,Female,Unemployed,$50K–$100K,1,Married,PhD,East,805.8073414065151,1482.4579402589384,141.72954199002402,8.799699420265565,3,No,Prepaid,3,9,Voice-Data Plan,Afternoon,267,9,UPI,Late by >5 Days,156.37651292523736,43,9,High,1,High
CUST_00007,40,Female,Professional,$50K–$100K,3,Married,High School,West,712.116970842872,13393.19571296007,148.99145438465797,24.055239973646028,29,No,Prepaid,2,5,Voice Plan,Night,244,3,Credit Card,Late by <5 Days,440.49922410214856,532,5,Low,4,High
CUST_00008,50,Male,Student,<$50K,5,Single,Master’s,East,876.836406170433,5553.058544543085,21.26127387885113,44.59377047358244,47,No,Prepaid,4,1,Voice-Data Plan,Night,346,0,UPI,On Time,194.18780890855507,694,5,Low,4,High
CUST_00009,61,Female,Unemployed,<$50K,1,Married,PhD,West,341.3140993843501,13587.029385975502,102.08879912526685,15.406359878743082,12,No,Corporate Plan,4,6,Data-Only Plan,Afternoon,303,9,UPI,On Time,134.73207333037308,243,0,High,1,Low
CUST_00010,32,Male,Unemployed,<$50K,2,Divorced,Master’s,South,231.0130039083583,10620.848159877954,6.923509537158219,13.443813544982696,21,Yes,Corporate Plan,1,1,Voice Plan,Morning,88,7,Net Banking,Late by >5 Days,393.8052630744392,664,5,Moderate,8,Low
