Customer_ID,Age,Gender,Occupation,Income_Bracket,Family_Size,Marital_Status,Education_Level,Region,Monthly_Revenue,CLTV,Avg_Monthly_Data_Usage_GB,Avg_Call_Duration_Minutes,Monthly_Transactions,Churn_Status,Subscription_Type,Retention_Offers_Availed,Feedback_Score,Preferred_Product_Type,Peak_Usage_Time,Last_Interaction_Days,Number_of_Complaints,Payment_Method,Bill_Payment_Timeliness,Outstanding_Balance,Loyalty_Points,Campaign_Responses,Social_Media_Activity,Network_Complaints,Service_Downtime_Impact,Segment
CUST_00001,56,Male,Professional,<$50K,4,Married,Master’s,North,883.487831594997,14762.543720261254,154.94084824441336,15.5965850764424,29,No,Prepaid,3,10,Voice Plan,Evening,328,6,Debit Card,Late by >5 Days,220.38290071827063,842,4,Moderate,3,Medium,High-Value
CUST_00002,46,Female,Professional,$50K–$100K,5,Single,PhD,East,975.6536267452948,15169.314202446394,9.764035498304414,52.111253722948696,26,Yes,Postpaid,4,9,Voice-Data Plan,Night,144,7,Net Banking,Late by >5 Days,239.48528072673568,636,3,High,1,High,High-Value
CUST_00003,32,Female,Unemployed,$50K–$100K,2,Divorced,Master’s,North,76.14322588339454,11600.621457863312,138.97369559320663,10.713077267261456,35,No,Prepaid,0,1,Voice-Data Plan,Morning,60,4,Net Banking,On Time,448.4970390928369,681,4,Moderate,7,Medium,Low-Value
CUST_00004,60,Male,Student,$50K–$100K,3,Divorced,PhD,East,847.8253540382544,12108.693713150671,129.9989435790373,25.492371432548545,15,No,Family Plan,2,1,Data-Only Plan,Morning,272,4,Credit Card,Late by >5 Days,197.40038423147652,558,6,Moderate,8,Low,High-Value
CUST_00005,25,Non-Binary,Professional,<$50K,2,Married,Bachelor’s,North,764.1835643871386,3539.361046799842,47.06453908668466,1.845523446153074,3,No,Family Plan,3,9,Voice Plan,Morning,48,0,UPI,Late by <5 Days,476.6621324435692,260,5,Moderate,3,Medium,Mid-Value
CUST_00006,38,Female,Professional,$50K–$100K,4,Divorced,Master’s,South,267.25968893034656,9433.32458000472,136.5892496350284,29.221793418562797,23,No,Postpaid,4,6,Voice Plan,Evening,331,8,Credit Card,Late by >5 Days,242.5659538571674,216,8,High,3,Low,Low-Value
CUST_00007,56,Male,Professional,<$50K,2,Divorced,High School,North,958.5040887181513,9564.749393840912,188.09645505916444,2.240245296846812,29,Yes,Family Plan,1,4,Voice Plan,Evening,130,5,UPI,Late by >5 Days,486.8902504894645,816,5,High,4,Low,High-Value
CUST_00008,36,Male,Retired,<$50K,1,Married,Bachelor’s,South,190.76903181844816,19211.458877687062,10.310383149381936,49.35696363088219,34,No,Family Plan,3,7,Data-Only Plan,Evening,42,8,Debit Card,Late by >5 Days,4.099160565481097,123,8,Moderate,1,Low,Low-Value
CUST_00009,40,Male,Retired,$50K–$100K,3,Divorced,High School,South,695.572430777213,9190.6503898425,64.61075900312045,49.66637228173912,33,Yes,Corporate Plan,4,5,Data-Only Plan,Morning,56,2,Net Banking,On Time,449.4076874031733,804,3,Low,6,High,Mid-Value
CUST_00010,28,Male,Unemployed,>$100K,2,Divorced,Bachelor’s,West,263.64570597511687,11437.510253152395,88.1971666166047,47.47678910983982,41,No,Postpaid,0,10,Data-Only Plan,Afternoon,49,4,Debit Card,Late by <5 Days,465.5602259716753,161,0,Low,4,Medium,Low-Value
CUST_00011,28,Male,Student,$50K–$100K,4,Divorced,Master’s,South,459.81161633537096,11131.776586302947,179.95281142601323,17.718480064575974,41,No,Corporate Plan,1,7,Voice Plan,Afternoon,177,1,Net Banking,On Time,480.5104678826066,200,0,Low,5,Low,Mid-Value
CUST_00012,41,Female,Unemployed,$50K–$100K,4,Single,PhD,South,733.2019020973405,13098.472623842215,192.49002787522215,50.39699587508726,23,No,Corporate Plan,4,8,Voice Plan,Afternoon,292,9,Debit Card,Late by <5 Days,6.538267087307426,453,9,Moderate,3,High,High-Value
CUST_00013,53,Male,Student,$50K–$100K,2,Married,Bachelor’s,North,585.1584099313943,15216.423795306022,89.37893405277012,33.03688982371089,7,Yes,Prepaid,4,8,Voice Plan,Night,45,4,Credit Card,On Time,85.8504182751545,401,6,High,7,Low,High-Value
CUST_00014,57,Male,Retired,$50K–$100K,4,Married,PhD,East,456.1267397617061,5275.79564724657,150.25565401629603,23.054678423153145,3,No,Postpaid,2,1,Data-Only Plan,Morning,169,7,Debit Card,Late by <5 Days,326.8822515466181,461,2,Moderate,7,Medium,Mid-Value
CUST_00015,41,Female,Retired,<$50K,5,Married,Bachelor’s,West,360.02150938538784,11045.763962870278,106.80054372913212,37.89446762254975,32,No,Prepaid,3,8,Data-Only Plan,Afternoon,270,1,Debit Card,On Time,12.736345867553569,274,1,Low,4,High,Low-Value
CUST_00016,20,Male,Retired,<$50K,5,Single,High School,South,847.6766729233508,16692.436439004578,108.01880401353392,1.7281217175620665,31,No,Prepaid,2,6,Voice-Data Plan,Afternoon,335,7,Credit Card,Late by >5 Days,31.80449808825037,205,5,High,5,Low,High-Value
CUST_00017,39,Female,Unemployed,<$50K,5,Single,High School,West,186.62363279907305,9799.179562912715,56.34180349820493,9.434691778444376,18,No,Corporate Plan,1,4,Data-Only Plan,Afternoon,138,3,Net Banking,On Time,110.53943684672096,39,5,Moderate,2,Low,Low-Value
CUST_00018,19,Male,Professional,<$50K,1,Married,Bachelor’s,North,458.5977327033101,6290.693381097887,44.17429292691202,44.7953187520455,43,No,Family Plan,4,8,Voice-Data Plan,Morning,246,9,Net Banking,On Time,256.2198843719421,272,6,Moderate,0,Low,Mid-Value
CUST_00019,41,Male,Professional,$50K–$100K,2,Single,PhD,South,908.569693186385,13439.472431769682,58.31306383888419,15.405534914253026,7,No,Postpaid,2,3,Voice Plan,Afternoon,147,9,Credit Card,Late by >5 Days,272.9512796334038,699,4,Low,8,Medium,High-Value
CUST_00020,61,Female,Retired,<$50K,1,Married,Master’s,North,853.5570729369693,16651.580520183335,111.70927344415878,36.28253792239623,41,Yes,Family Plan,3,4,Data-Only Plan,Afternoon,229,0,Debit Card,Late by >5 Days,17.130561396752174,866,7,Moderate,8,High,High-Value
CUST_00021,47,Female,Professional,<$50K,4,Single,Master’s,West,430.8946743493944,2199.665565620435,6.801882018395711,23.72105356655875,1,No,Corporate Plan,1,6,Voice Plan,Morning,279,4,Debit Card,Late by <5 Days,85.18362539076557,92,6,High,2,High,Mid-Value
CUST_00022,55,Female,Professional,<$50K,1,Divorced,High School,North,774.9529454212429,15759.019184737315,181.54253992692475,51.43354094915642,14,No,Corporate Plan,0,7,Voice Plan,Night,124,0,Debit Card,Late by <5 Days,249.8528366673277,41,1,Low,3,High,High-Value
